1,1,6,2
2,1,12,1
3,1,9,3
4,1,10,7
5,1,5,11
6,1,8,4
7,2,2,10
8,2,11,12
9,2,7,8
10,2,3,5
11,2,4,9
12,2,6,1
13,3,10,8
14,3,7,4
15,3,9,5
16,3,2,1
17,3,6,12
18,3,3,11
19,4,7,9
20,4,3,12
21,4,2,11
22,4,6,8
23,4,5,1
24,4,10,4
25,5,8,9
26,5,4,3
27,5,6,10
28,5,11,1
29,5,2,7
30,5,5,12
31,6,6,11
32,6,10,1
33,6,4,12
34,6,7,5
35,6,8,3
36,6,2,9
37,7,2,3
38,7,9,1
39,7,8,5
40,7,4,11
41,7,10,12
42,7,6,7
43,8,2,8
44,8,7,3
45,8,10,11
46,8,6,5
47,8,4,1
48,8,9,12
49,9,10,5
50,9,7,12
51,9,6,3
52,9,2,4
53,9,9,11
54,9,8,1
55,10,8,11
56,10,4,5
57,10,7,1
58,10,6,9
59,10,10,3
60,10,2,12
61,11,2,5
62,11,3,1
63,11,10,9
64,11,8,12
65,11,6,4
66,11,7,11
67,12,5,11
68,12,12,1
69,12,8,4
70,12,6,2
71,12,9,3
72,12,10,7
73,13,2,10
74,13,4,9
75,13,6,1
76,13,11,12
77,13,7,8
78,13,3,5
79,14,6,12
80,14,7,4
81,14,3,11
82,14,10,8
83,14,9,5
84,14,2,1
85,15,3,12
86,15,5,1
87,15,10,4
88,15,7,9
89,15,2,11
90,15,6,8
91,16,2,7
92,16,8,9
93,16,5,12
94,16,4,3
95,16,6,10
96,16,11,1
97,17,1,12
98,17,11,9
99,17,4,5
100,17,10,8
101,17,2,3
102,17,6,7
