player_id,match_id,team_id,handicap
18,43,8,10.0
4,43,2,4.0
19,43,8,17.0
5,43,2,10.0
12,46,5,4.0
14,46,6,8.0
13,46,5,11.0
15,46,6,16.0
27,48,12,11.0
20,48,9,21.0
28,48,12,7.0
21,48,9,8.0
24,45,11,8.0
22,45,10,8.0
33,45,11,9.0
23,45,10,9.0
11,47,4,12.0
2,47,1,6.0
10,47,4,14.0
1,47,1,12.0
17,44,7,3.0
31,44,3,11.0
6,44,7,9.0
7,44,3,13.0
22,4,10,9.0
30,4,7,3.0
23,4,10,9.0
31,4,7,11.0
18,6,8,11.0
11,6,4,13.0
19,6,8,17.0
10,6,4,14.0
21,3,9,8.0
8,3,3,10.0
20,3,9,21.0
7,3,3,14.0
12,5,5,4.0
24,5,11,7.0
13,5,5,11.0
25,5,11,7.0
28,2,12,8.0
2,2,1,6.0
1,2,1,11.0
3,2,1,16.0
4,1,2,3.0
14,1,6,9.0
5,1,2,10.0
15,1,6,16.0
17,88,7,3.0
21,88,9,9.0
13,86,5,10.0
20,88,9,22.0
31,87,4,10.0
22,87,10,8.0
11,87,4,13.0
23,87,10,9.0
2,86,1,5.0
12,86,5,3.0
1,86,1,12.0
33,86,5,11.0
42,90,8,7.0
14,90,6,9.0
18,90,8,10.0
15,90,6,16.0
28,85,12,5.0
34,85,3,6.0
29,85,12,10.0
7,85,3,12.0
4,89,2,4.0
24,89,11,8.0
6,89,2,9.0
25,89,11,8.0
24,31,11,8.0
14,31,6,9.0
26,31,11,16.0
15,31,6,17.0
44,35,8,5.0
9,35,3,12.0
18,35,8,11.0
7,35,3,13.0
11,33,4,12.0
2,32,1,6.0
10,33,4,14.0
27,33,12,11.0
4,33,4,4.0
31,33,12,11.0
5,36,2,10.0
20,36,9,20.0
1,32,1,12.0
22,32,10,8.0
3,32,1,16.0
23,32,10,9.0
12,34,5,4.0
17,34,7,3.0
13,34,5,12.0
43,34,7,16.0
25,18,11,8.0
8,18,3,10.0
26,18,11,20.0
7,18,3,14.0
12,15,5,4.0
21,15,9,8.0
13,15,5,11.0
20,15,9,20.0
28,17,12,8.0
14,17,6,9.0
5,16,2,10.0
15,17,6,17.0
22,13,10,8.0
18,13,8,10.0
23,13,10,9.0
19,13,8,17.0
1,16,1,11.0
4,16,2,4.0
3,16,1,17.0
6,16,2,9.0
11,14,4,13.0
17,14,7,3.0
10,14,4,14.0
16,14,7,16.0
31,76,11,10.0
28,76,12,7.0
33,76,11,11.0
27,76,12,11.0
22,73,10,8.0
6,73,2,9.0
23,73,10,9.0
32,73,2,9.0
12,78,5,4.0
8,78,3,10.0
13,78,5,12.0
9,78,3,13.0
17,77,7,3.0
44,77,8,6.0
16,77,7,16.0
18,77,8,10.0
2,75,1,5.0
5,73,2,10.0
1,75,1,13.0
13,78,5,10.0
11,74,4,12.0
4,74,9,4.0
40,74,4,22.0
21,74,9,8.0
4,52,2,4.0
38,52,4,12.0
6,52,2,9.0
10,52,4,14.0
22,49,10,8.0
12,49,5,4.0
23,49,10,9.0
13,49,5,10.0
21,53,9,8.0
25,53,11,8.0
20,53,9,21.0
9,51,3,15.0
14,51,6,9.0
8,51,3,11.0
15,51,6,16.0
7,51,3,13.0
18,54,8,11.0
33,54,1,11.0
19,54,8,18.0
3,54,1,15.0
31,50,7,11.0
28,50,12,7.0
16,50,7,16.0
27,50,12,11.0
18,92,8,10.0
21,92,9,9.0
19,92,8,18.0
20,92,9,22.0
7,94,3,12.0
11,94,4,13.0
9,94,3,15.0
10,94,4,14.0
2,96,1,5.0
25,96,11,8.0
1,96,1,12.0
38,96,11,13.0
12,93,5,4.0
28,93,12,5.0
13,93,5,12.0
27,93,12,11.0
31,95,6,11.0
22,95,10,8.0
15,95,6,16.0
23,95,10,9.0
17,91,7,3.0
35,91,2,8.0
36,91,7,8.0
6,91,2,9.0
2,28,1,6.0
24,28,11,8.0
3,28,1,17.0
26,28,11,20.0
12,30,5,4.0
28,30,12,8.0
13,30,5,13.0
7,26,3,14.0
38,26,4,11.0
8,26,3,11.0
11,26,4,13.0
9,26,3,13.0
17,29,7,3.0
4,29,2,4.0
16,29,7,16.0
6,29,2,9.0
14,27,6,10.0
22,27,10,8.0
43,27,6,17.0
41,27,10,12.0
18,25,8,11.0
21,25,9,8.0
31,25,8,11.0
20,25,9,21.0
22,63,10,8.0
4,61,2,4.0
23,63,10,10.0
20,63,9,21.0
8,62,3,10.0
2,62,1,6.0
7,62,3,13.0
9,62,3,13.0
24,66,11,8.0
17,66,7,3.0
31,66,11,10.0
43,66,7,15.0
6,61,2,9.0
12,61,5,4.0
5,61,2,10.0
13,61,5,13.0
18,64,8,10.0
28,64,12,6.0
19,64,8,18.0
27,64,12,11.0
14,65,6,9.0
27,64,12,12.0
15,65,6,17.0
10,65,4,14.0
2,12,1,5.0
14,12,6,9.0
1,12,1,11.0
15,12,6,17.0
24,8,11,7.0
4,7,2,3.0
25,8,11,7.0
3,12,1,17.0
17,9,7,3.0
18,9,8,10.0
16,9,7,16.0
19,9,8,17.0
22,7,10,8.0
6,7,2,9.0
41,7,10,10.0
5,7,2,10.0
11,11,4,13.0
21,11,9,8.0
10,11,4,14.0
20,11,9,20.0
9,10,3,9.0
12,10,5,4.0
8,10,3,10.0
13,10,5,11.0
4,37,2,4.0
7,37,3,13.0
6,37,2,9.0
9,37,3,13.0
25,40,11,8.0
11,40,4,12.0
26,40,11,16.0
10,40,4,14.0
17,42,7,3.0
14,42,6,9.0
31,42,7,11.0
15,42,6,17.0
18,39,8,10.0
12,39,5,4.0
19,39,8,18.0
13,39,5,11.0
22,41,10,8.0
27,41,12,11.0
23,41,10,9.0
3,38,1,16.0
21,38,9,8.0
2,38,1,6.0
20,38,9,20.0
1,38,1,12.0
17,57,7,3.0
2,57,1,6.0
16,57,7,16.0
3,57,1,15.0
18,55,8,11.0
24,55,11,8.0
19,55,8,18.0
7,59,3,10.0
1,57,1,12.0
21,58,9,8.0
15,58,6,17.0
20,58,9,21.0
11,56,4,13.0
12,56,5,3.0
10,56,4,14.0
13,56,5,11.0
8,59,3,10.0
22,59,10,8.0
9,59,3,14.0
31,59,10,11.0
28,60,12,7.0
6,60,2,9.0
27,60,12,11.0
5,60,2,10.0
24,21,11,8.0
30,21,2,5.0
25,21,11,8.0
1,21,2,11.0
18,22,8,11.0
14,22,6,10.0
19,22,8,11.0
15,22,6,10.0
2,23,1,6.0
12,23,5,4.0
3,23,1,17.0
31,23,5,11.0
17,19,7,3.0
21,19,9,8.0
16,19,7,16.0
20,19,9,21.0
39,20,12,4.0
9,20,3,9.0
35,20,12,8.0
7,20,3,14.0
11,24,4,13.0
22,24,10,8.0
10,24,4,14.0
26,21,11,22.0
28,97,12,5.0
2,97,1,5.0
27,97,12,10.0
1,97,1,12.0
22,100,10,8.0
18,100,8,10.0
23,100,10,9.0
19,100,8,18.0
21,98,9,9.0
25,98,11,8.0
31,98,9,11.0
34,98,11,11.0
12,99,5,4.0
11,99,4,13.0
13,99,5,12.0
10,99,4,13.0
17,102,7,4.0
14,102,6,9.0
33,102,7,10.0
15,102,6,17.0
7,101,3,12.0
4,101,2,4.0
9,101,3,14.0
6,101,2,9.0
14,70,6,9.0
6,70,2,9.0
15,70,6,16.0
37,70,2,15.0
11,69,4,12.0
18,69,8,10.0
10,69,4,13.0
7,71,3,13.0
24,67,11,8.0
4,67,5,4.0
25,67,11,9.0
31,67,5,10.0
21,71,9,8.0
8,71,3,10.0
20,71,9,21.0
9,71,3,13.0
28,68,12,6.0
2,68,1,5.0
27,68,12,11.0
43,68,1,14.0
22,72,10,8.0
36,72,7,9.0
23,72,10,9.0
16,72,7,16.0
